ID_marked,original_source_citation,specific_or_general,data_derivation_method
N-1781,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1782,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1783,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1784,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1785,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1786,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1787,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1788,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1789,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1790,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1791,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1792,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1793,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1794,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1795,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1796,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1797,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1798,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1799,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1800,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1801,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1802,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1803,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1804,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1805,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1806,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1807,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1808,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1809,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1810,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1811,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1812,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1813,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1814,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1815,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1816,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1817,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1818,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1819,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1820,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1821,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1822,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1823,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1824,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1825,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1826,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1827,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1828,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1829,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1830,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1831,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1832,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1833,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1834,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1835,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1836,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1837,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1838,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1839,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1840,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1841,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1842,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1843,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1844,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1845,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1846,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1847,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1848,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1849,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1850,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1851,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1852,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1853,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1854,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1855,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1856,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1857,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1858,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1859,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1860,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1861,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1862,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1863,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1864,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1865,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1866,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1867,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1868,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1869,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1870,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1871,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1872,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1873,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1874,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1875,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1876,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1877,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1878,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1879,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1880,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1881,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1882,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1883,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1884,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1885,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1886,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1887,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1888,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1889,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1890,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1891,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1892,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1893,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1894,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1895,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1896,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1897,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1898,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1899,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1900,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1901,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1902,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1903,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1904,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1905,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1906,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1907,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1908,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1909,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1910,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1911,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1912,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1913,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1914,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1915,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1916,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1917,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1918,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1919,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1920,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1921,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1922,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1923,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1924,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1925,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1926,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1927,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1928,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1929,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1930,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1931,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1932,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1933,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1934,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1935,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1936,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1937,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1938,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1939,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1940,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1941,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1942,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1943,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1944,"Project valuation information network, China Construction project Cost Management Association, http://www.ccost.com/f/costIndex?menuId=5",Specific,Construction bill of materials
N-1945,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1946,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1947,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1948,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1949,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1950,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1951,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1952,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1953,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1954,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1955,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1956,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1957,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1958,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1959,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1960,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1961,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1962,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1963,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1964,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1965,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1966,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1967,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1968,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1969,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1970,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1971,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1972,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1973,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1974,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1975,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1976,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1977,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1978,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1979,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1980,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1981,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1982,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1983,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1984,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1985,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1986,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1987,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1988,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1989,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1990,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1991,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1992,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1993,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1994,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1995,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1996,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1997,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1998,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-1999,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
N-2000,"Yu H, Li GJ. Construction project investment estimation handbook. Beijing: China Architecture & Building Press; 1999.",Specific,Construction bill of materials
